#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T15:37:59 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T15:37:59	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/253/7&tab:{J/ApJS/253/7/table11}&key:source=J/ApJS/253/7/table11&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/253/7/table11
#-order=I
#-out=Cat
#-out=FName
#-out=m_PName
#-out=OName
#-out=f_FName
#-out=r_FName
#-out=SpTO
#-out=f_SpTO
#-out=r_SpTO
#-out=SpTIR
#-out=r_SpTIR
#-out=u_plx
#-out=plx
#-out=e_plx
#-out=pmtot
#-out=e_pmtot
#-out=AS
#-out=AS-flags
#-out=Teff
#-out=e_Teff
#-out=Note
#-out=PName
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_22530007
#Name: J/ApJS/253/7
#Title: A full-sky census of brown dwarfs within 20pc (Kirkpatrick+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apjs/253/7	
#INFO	publisher=CDS	
#INFO	creator=Kirkpatrick J.D.	
#INFO	related_resource=bibcode:2021ApJS..253....7K	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/253/7	
#INFO	publication_date=2023-10-24	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_ApJS_253_7_table11:
#Name: J/ApJS/253/7/table11
#Title: The full-sky 20-pc census of L, T, and Y dwarfs (known as of 2020 Oct)
#Column	Cat	(A7)	Catalog used for FName if any	[ucd=instr.setup;meta.table]
#Column	FName	(A19)	Full name, position-based identifier	[ucd=meta.id;meta.main]
#Column	m_PName	(A2)	Component ID on object	[ucd=meta.code.multip]
#Column	OName	(a21)	Other name	[ucd=meta.id]
#Column	f_FName	(A1)	Cross identification flags for Table A1 (1)	[ucd=meta.code]
#Column	r_FName	(a7)	Discovery Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTO	(a12)	Optical spectral type	[ucd=src.spType]
#Column	f_SpTO	(A1)	Flag on SpTO (2)	[ucd=meta.code]
#Column	r_SpTO	(A3)	Reference(s) for SpTO (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTIR	(a14)	Near-IR spectral type	[ucd=src.spType]
#Column	r_SpTIR	(a7)	Reference(s) for SpTIR (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	u_plx	(A1)	[:u ] Uncertainty flag (3)	[ucd=meta.code.error;pos.parallax]
#Column	plx	(F8.4)	[37.1/501.6]? Absolute parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F7.4)	[0.019/21.4]? Uncertainty in plx	[ucd=stat.error;pos.parallax]
#Column	pmtot	(F7.2)	[11.7/8151.6]? Total proper motion	[ucd=pos.pm]
#Column	e_pmtot	(F5.2)	[0.1/99.7]? Uncertainty in pmtot	[ucd=stat.error]
#Column	AS	(a6)	Source of the astrometry (see refs.dat file)	[ucd=meta.bib]
#Column	AS-flags	(A1)	Flags on astrometry (4)	[ucd=meta.code]
#Column	Teff	(I4)	[250/2338]? Effective surface temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I3)	[10/198]? Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	Note	(a7)	Special note(s) (5)	[ucd=meta.note]
#Column	PName	(A9)	Short name position code for object (HHMM+DDMM; J2000) as in other tables; column added by CDS	[ucd=meta.id]
#Column	SimbadName	(a28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Simbad or names (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad or names (declination part)	[ucd=pos.eq.dec;meta.main]
Cat;FName;m_PName;OName;f_FName;r_FName;SpTO;f_SpTO;r_SpTO;SpTIR;r_SpTIR;u_plx;plx;e_plx;pmtot;e_pmtot;AS;AS-flags;Teff;e_Teff;Note;PName;SimbadName;_RA;_DE
WISE   ;J035000.32-565830.2;  ;                     ; ;2      ;            ; ;   ;Y1            ;2      ; ;176.4000; 2.3000; 612.10; 1.50;0     ; ; 388; 88;       ;0350-5658;WISE J035000.32-565830.2    ;057.50137;-56.97506
2MASS  ;J03552337+1133437  ;  ;                     ; ;117    ;L5{gamma}   ; ;110;L3-L6{gamma}  ;175    ; ;109.6451; 0.7368; 668.40; 1.80;168   ; ;1478; 58;yng    ;0355+1133;2MASS J03552337+1133437     ;058.84739;+11.56217
UGPS   ;J03553200+4743588  ;  ;                     ; ;83     ;            ; ;   ;[T6]          ;83     ; ; 66.4000; 3.2000; 538.50; 8.10;0     ; ; 864; 88;       ;0355+4743;                            ;058.88333;+47.73300
WISE   ;J035934.06-540154.6;  ;                     ; ;2      ;            ; ;   ;Y0            ;2      ; ; 73.6000; 2.0000; 770.70; 1.10;0     ; ; 436; 88;       ;0359-5401;WISE J035934.06-540154.6    ;059.89195;-54.03184
WISE   ;J040137.21+284951.7;  ;                     ; ;119    ;L3          ; ;119;L2.5          ;119    ; ; 80.2894; 0.2615; 480.90; 0.60;168   ; ;1816; 88;       ;0401+2849;WISE J040137.21+284951.7    ;060.40663;+28.83131
CWISEP ;J040235.55-265145.4;  ;                     ; ;232    ;            ; ;   ;[>=Y1]        ;232    ;u;116.4000;20.5000; 934.00;34.50;0     ; ; 367; 79;[82.5] ;0402-2651;CWISEP J040235.55-265145.4  ;060.64504;-26.86054
WISE   ;J040418.01+412735.6;  ;                     ; ;119    ;L2          ; ;119;L3~pec~(red)  ;15     ; ; 61.7516; 0.4163; 396.10; 1.20;168   ; ;1780; 88;       ;0404+4127;WISE J040418.01+412735.6    ;061.07528;+41.46102
2MASS  ;J04070885+1514565  ;  ;                     ; ;3      ;            ; ;   ;T5.5          ;124    ; ; 56.7400; 2.0700; 237.70; 0.70;200   ; ;1027; 88;       ;0407+1514;2MASS J04070885+1514565     ;061.78689;+15.24905
WISEPA ;J041022.71+150248.5;  ;                     ; ;10     ;            ; ;   ;Y0            ;10     ; ;151.3000; 2.0000;2418.30; 1.10;0     ; ; 451; 88;       ;0410+1502;WISEP J041022.71+150248.5   ;062.59464;+15.04679
CWISE  ;J041102.41+471422.6;  ;                     ; ;0      ;            ; ;   ;[T7]          ;0      ;:; 61.0000;       ; 463.10;35.80;0     ; ; 819; 79;       ;0411+4714;CWISE J041102.41+471422.6   ;062.75907;+47.23990
Gaia   ;J041246.85-073416.8;  ;                     ;f;229    ;[L1:]       ; ;229;L2~pec        ;0      ; ; 59.6888; 0.3365; 592.30; 0.50;168   ; ;1963;134;       ;0412-0734;Gaia DR2 3195979005694112768;063.19345;-07.56949
WISE   ;J041358.14-475039.3;  ;                     ; ;8      ;            ; ;   ;T9            ;8      ; ; 50.7000; 3.3000; 329.50; 3.40;0     ; ; 540; 88;       ;0413-4750;WISE J041358.14-475039.3    ;063.49227;-47.84425
2MASS  ;J04134574+3709087  ;  ;                     ; ;133    ;[L1]        ; ;220;              ;       ; ; 51.6559; 0.3322; 684.50; 0.90;168   ; ;1965; 88;       ;0413+3709;2MASS J04134574+3709087     ;063.44045;+37.15250
2MASSI ;J0415195-093506    ;  ;                     ; ;32     ;T8          ; ;197;T8            ;61     ; ;175.2000; 1.7000;2278.20; 1.20;67    ; ; 677; 56;       ;0415-0935;2MASSI J0415195-093506      ;063.83143;-09.58519
WISEA  ;J041743.13+241506.3;  ;                     ; ;238    ;            ; ;   ;T6            ;236    ;:; 84.0000;       ; 470.50;16.00;0     ; ; 965; 79;       ;0417+2415;WISEA J041743.13+241506.3   ;064.42820;+24.25345
2MASS  ;J04210718-6306022  ;  ;                     ; ;120    ;L5{beta}    ; ;110;L5{gamma}     ;275    ; ; 50.0000; 3.3000; 265.00; 2.90;0     ; ;1388;197;yng    ;0421-6306;2MASS J04210718-6306022     ;065.27994;-63.10062
SDSSp  ;J042348.57-041403.5;A ;                     ; ;122    ;            ; ;   ;L6.5:         ;67     ; ; 67.8584; 1.5052; 354.20; 2.30;168   ; ;1465;134;       ;0423-0414;WDS J04238-0414AB           ;065.95240;-04.23424
SDSSp  ;J042348.57-041403.5;B ;                     ; ;208    ;            ; ;   ;T2            ;67     ; ; 67.8584; 1.5052; 354.20; 2.30;168   ; ;1218; 79;       ;0423-0414;WDS J04238-0414AB           ;065.95240;-04.23424
CWISE  ;J042455.69+000221.5;  ;                     ; ;232    ;            ; ;   ;T9:           ;0      ;:; 53.2000;       ; 208.70;35.00;0     ; ; 566; 79;       ;0424+0002;CWISEP J042455.68+000221.4  ;066.23147;+00.03960
2MASS  ;J04250679-4255085  ;  ;                     ; ;158    ;            ; ;   ;L8            ;158    ;:; 59.7000;       ; 156.10; 7.20;0     ; ;1335;134;       ;0425-4255;2MASS J04250679-4255085     ;066.27830;-42.91904
WISE   ;J043052.92+463331.6;  ;                     ; ;8      ;            ; ;   ;T8            ;8      ; ; 96.1000; 2.9000; 961.40; 2.60;0     ; ; 516; 88;       ;0430+4633;WISE J043052.92+463331.6    ;067.72050;+46.55878
2MASSI ;J0439010-235308    ;  ;                     ; ;115    ;L6.5        ; ;115;L6            ;124    ; ; 80.7917; 0.5139; 190.70; 1.10;168   ; ;1290; 82;       ;0439-2353;2MASSI J0439010-235308      ;069.75419;-23.88569
2MASSI ;J0445538-304820    ;  ;                     ; ;115    ;L2          ; ;115;              ;       ; ; 61.9685; 0.1843; 449.70; 0.50;168   ; ;1809; 90;       ;0445-3048;2MASSI J0445538-304820      ;071.47457;-30.80574
WISEPA ;J044853.29-193548.5;  ;                     ; ;4      ;            ; ;   ;T5~pec        ;4      ; ; 57.6000; 3.0000;1179.50; 1.30;0     ; ; 950; 88;sd     ;0448-1935;WISEP J044853.29-193548.5   ;072.22201;-19.59685
WISE   ;J045746.08-020719.2;  ;                     ; ;35     ;            ; ;   ;T2            ;35     ; ; 82.0000; 2.9000; 140.40; 3.70;237   ; ;1259; 88;       ;0457-0207;WISE J045746.08-020719.2    ;074.44203;-02.12201
WISEPA ;J045853.89+643452.9;A ;                     ; ;11     ;            ; ;   ;T8.5          ;10     ; ;106.7000; 2.8000; 358.00; 1.40;0     ; ; 624; 79;       ;0458+6434;WDS J04589+6435AB           ;074.72456;+64.58127
WISEPA ;J045853.89+643452.9;B ;                     ; ;56     ;            ; ;   ;T9.5          ;10     ; ;106.7000; 2.8000; 358.00; 1.40;0     ; ; 511; 79;       ;0458+6434;WDS J04589+6435AB           ;074.72456;+64.58127
WISEPA ;J050003.05-122343.2;  ;                     ; ;4      ;            ; ;   ;T8            ;4      ; ; 84.6000; 2.2000; 724.80; 2.50;237   ; ; 614; 88;       ;0500-1223;WISEP J050003.05-122343.2   ;075.01269;-12.39535
2MASS  ;J05002100+0330501  ;  ;                     ; ;117    ;L4          ; ;117;L4.1          ;106    ; ; 76.2093; 0.3565; 351.80; 0.70;168   ; ;1793; 72;       ;0500+0330;2MASS J05002100+0330501     ;075.08755;+03.51391
WISEU  ;J050305.68-564834.0;  ;                     ; ;233    ;            ; ;   ;[>=Y1]        ;233    ; ; 98.3000; 3.9000; 812.10;13.70;0     ; ; 367; 79;       ;0503-5648;WISEU J050305.68-564834.0   ;075.77369;-56.80945
2MASS  ;J05065012+5236338  ;  ;PSO J076.7092+52.6087; ;181    ;            ; ;   ;T4.5          ;181    ; ; 61.3000; 3.1000; 208.30; 5.70;0     ; ;1135; 88;       ;0506+5236;2MASS J05065012+5236338     ;076.70885;+52.60941
WISE   ;J050854.88+331920.8;  ;                     ; ;16     ;L2          ; ;149;              ;       ; ; 52.9819; 0.6076; 654.10; 1.40;168   ; ;1850; 88;       ;0508+3319;WISE J050854.88+331920.8    ;077.22941;+33.32419
2MASS  ;J05103524-4208146  ;  ;                     ; ;24     ;            ; ;   ;T5            ;24     ; ; 53.8000; 2.4000; 592.10; 1.50;200   ; ;1006; 88;       ;0510-4208;2MASS J05103524-4208146     ;077.64685;-42.13740
WISEPA ;J051317.28+060814.7;  ;                     ; ;4      ;            ; ;   ;T6.5          ;4      ; ; 70.8000; 1.5000; 433.00; 1.00;1     ; ; 916; 88;       ;0513+0608;WISEP J051317.28+060814.7   ;078.32198;+06.13862
CWISE  ;J051427.35+200447.7;  ;                     ; ;0      ;            ; ;   ;T0.5          ;0      ;:; 54.1000;       ; 103.80;10.00;0     ; ;1245; 79;       ;0514+2004;CWISE J051427.35+200447.7   ;078.61385;+20.07998
WISE   ;J052126.29+102528.4;  ;                     ; ;35     ;            ; ;   ;T7.5          ;35     ; ;150.2000; 3.0000; 492.10; 3.50;0     ; ; 727; 88;       ;0521+1025;WISE J052126.29+102528.4    ;080.35899;+10.42580
UGPS   ;J052127.27+364048.6;  ;                     ; ;46     ;            ; ;   ;T8.5          ;46     ; ;122.2000; 1.6000;1614.60; 1.30;1     ; ; 616; 88;       ;0521+3640;UGPS J052127.27+364048.6    ;080.36225;+36.68344
2MASSI ;J0523382-140302    ;  ;                     ; ;115    ;L2.5        ; ;115;L5            ;109    ; ; 78.3632; 0.1855; 193.40; 0.40;168   ; ;1939; 68;       ;0523-1403;2MASSI J0523382-140302      ;080.90926;-14.05056
WISE   ;J053516.80-750024.9;  ;                     ; ;2      ;            ; ;   ;>=Y1:         ;2      ; ; 68.7000; 2.0000; 122.40; 1.10;0     ; ; 410; 88;       ;0535-7500;WISE J053516.80-750024.9    ;083.82003;-75.00692
CWISEP ;J053644.82-305539.3;  ;                     ; ;232    ;            ; ;   ;[T9.5]        ;0      ; ; 78.1000; 3.8000;  37.40;13.70;0     ; ; 511; 79;       ;0536-3055;CWISEP J053644.82-305539.3  ;084.18655;-30.92762
SDSSp  ;J053951.99-005902.0;  ;                     ; ;121    ;L5          ; ;121;L5            ;122    ; ; 78.5318; 0.5707; 359.90; 1.10;168   ; ;1659; 74;       ;0539-0059;SDSSp J053951.99-005902.0   ;084.96668;-00.98375
CWISE  ;J054025.89-180240.3;  ;                     ; ;0      ;            ; ;   ;T5            ;0      ; ; 59.2000; 4.0000;  94.60; 3.80;237   ; ; 982; 88;       ;0540-1802;CWISE J054025.89-180240.3   ;085.10839;-18.04443
WISE   ;J054047.00+483232.4;  ;                     ; ;8      ;            ; ;   ;T8.5          ;8      ; ; 69.4000; 2.1000; 678.80; 1.30;0     ; ; 606; 88;       ;0540+4832;WISE J054047.00+483232.4    ;085.19583;+48.54233
WISEPA ;J054231.26-162829.1;  ;                     ; ;4      ;            ; ;   ;T6.5          ;4      ; ; 61.3000; 2.6000; 371.00; 3.50;237   ; ; 895; 88;       ;0542-1628;WISEP J054231.26-162829.1   ;085.63104;-16.47565
WISE   ;J054601.19-095947.5;  ;                     ; ;8      ;            ; ;   ;T5            ;8      ; ; 50.4000; 3.6000;  11.70; 3.50;237   ; ;1105; 88;       ;0546-0959;WISE J054601.19-095947.5    ;086.50500;-09.99645
2MASS  ;J05591914-1404488  ;  ;                     ; ;51     ;T5          ; ;197;T4.5          ;124    ; ; 97.2800; 0.5900; 661.50; 0.20;172   ; ;1301; 75;       ;0559-1404;2MASS J05591914-1404488     ;089.82995;-14.08034
CWISE  ;J060149.45+141955.2;  ;                     ; ;0      ;            ; ;   ;T2.5          ;0      ;:; 54.3000;       ; 234.60;10.10;0     ; ;1209; 79;       ;0601+1419;CWISE J060149.45+141955.2   ;090.45622;+14.33230
2MASS  ;J06020638+4043588  ;  ;                     ; ;24     ;            ; ;   ;T4.5          ;24     ; ; 76.4000; 3.1000; 324.00; 2.10;0     ; ; 985; 88;       ;0602+4043;2MASS J06020638+4043588     ;090.52660;+40.73302
2MASS  ;J06023045+3910592  ;  ;LSR J0602+3910       ; ;123    ;L1          ; ;123;L1{beta}      ;175    ; ; 85.6140; 0.1663; 530.00; 0.40;168   ; ;1857;133;yng    ;0602+3910;2MASS J06023045+3910592     ;090.62694;+39.18294
WISEP  ;J060738.65+242953.4;  ;                     ; ;119    ;L8          ; ;119;L9            ;20     ; ;136.9449; 0.6553; 572.70; 1.40;168   ; ;1271; 88;       ;0607+2429;WISEP J060738.65+242953.4   ;091.91258;+24.49911
       ;J061034-215200     ;  ;Gl 229B              ; ;36     ;            ; ;   ;T7pec         ;61     ; ;173.6955; 0.0457; 731.80; 0.20;168   ;a; 927; 77;       ;0610-2152;Gl 229B                     ;092.64500;-21.86667
WISEPA ;J061407.49+391236.4;A ;                     ; ;4      ;            ; ;   ;[T6]          ;1      ; ; 53.7000; 1.7000; 529.30; 1.20;1     ; ; 965; 79;       ;0614+3912;WISEP J061407.49+391236.4   ;093.53122;+39.21000
WISEPA ;J061407.49+391236.4;B ;                     ; ;1      ;            ; ;   ;[T8]          ;1      ; ; 53.7000; 1.7000; 529.30; 1.20;1     ; ; 686; 79;       ;0614+3912;WISEP J061407.49+391236.4   ;093.53122;+39.21000
WISE   ;J061437.73+095135.0;  ;                     ; ;8      ;            ; ;   ;T7            ;8      ; ; 64.9000; 2.0000; 416.40; 1.10;0     ; ; 833; 88;       ;0614+0951;WISE J061437.73+095135.0    ;093.66019;+09.86131
WISEA  ;J061557.21+152626.1;  ;                     ; ;22     ;            ; ;   ;T8.5          ;22     ; ; 52.8000; 3.1000; 532.90; 3.60;0     ; ; 624; 88;       ;0615+1526;WISEA J061557.21+152626.1   ;093.98837;+15.44058
CWISE  ;J061741.79+194512.8;A ;                     ; ;0      ;            ; ;   ;[L6.5]        ;0      ;:;133.0000;       ; 119.80; 5.50;0     ; ;1465;134;       ;0617+1945;CWISE J061741.79+194512.8   ;094.42466;+19.75377
CWISE  ;J061741.79+194512.8;B ;                     ; ;0      ;            ; ;   ;[T8:]         ;0      ;:;133.0000;       ; 119.80; 5.50;0     ; ; 686; 79;       ;0617+1945;CWISE J061741.79+194512.8   ;094.42466;+19.75377
CWISE  ;J062050.79-300620.8;  ;                     ; ;0      ;            ; ;   ;T2.5          ;0      ;:; 54.6000;       ; 147.70;12.30;0     ; ;1209; 79;       ;0620-3006;CWISE J062050.79-300620.8   ;095.21173;-30.10554
WISEPA ;J062309.94-045624.6;  ;                     ; ;4      ;            ; ;   ;T8            ;4      ; ; 86.5000; 1.7000; 921.90; 2.40;237   ; ; 688; 88;       ;0623-0456;WISEP J062309.94-045624.6   ;095.79142;-04.94017
2MASS  ;J06244595-4521548  ;  ;                     ; ;117    ;L5          ; ;117;L5            ;124    ; ; 81.6233; 0.4986; 378.40; 1.50;168   ; ;1501; 85;       ;0624-4521;2MASS J06244595-4521548     ;096.19144;-45.36521
WISEPA ;J062720.07-111428.8;  ;                     ; ;4      ;            ; ;   ;T6            ;4      ; ; 74.8000; 3.6000; 338.10; 1.60;1     ; ;1023; 88;       ;0627-1114;WISEP J062720.07-111428.8   ;096.83366;-11.24003
CWISEP ;J063428.10+504925.9;  ;                     ; ;232    ;            ; ;   ;[Y0]          ;232    ; ; 62.0000; 4.2000;1192.40;19.20;0     ; ; 460; 79;       ;0634+5049;CWISEP J063428.10+504925.9  ;098.61573;+50.82817
2MASS  ;J06411840-4322329  ;  ;                     ; ;112    ;L1.5        ; ;112;L2.4:         ;106    ; ; 51.2819; 0.1930; 666.60; 0.50;168   ; ;1927;120;       ;0641-4322;2MASS J06411840-4322329     ;100.32676;-43.37569
WISE   ;J064205.58+410155.5;  ;                     ; ;8      ;            ; ;   ;extr.~red     ;8      ; ; 62.6000; 3.1000; 383.10; 1.70;0     ; ;1185; 88;       ;0642+4101;WISE J064205.58+410155.5    ;100.52330;+41.03333
WISE   ;J064336.71-022315.4;  ;                     ; ;228    ;            ; ;   ;L8            ;228    ; ; 71.9172; 1.3761; 223.00; 3.40;168   ; ;1286; 88;       ;0643-0223;WISE J064336.71-022315.4    ;100.90291;-02.38699
WISEA  ;J064503.72+524054.1;  ;                     ; ;233    ;            ; ;   ;[T8.5]        ;233    ; ; 53.5000; 4.2000; 982.10;16.30;0     ; ; 624; 79;       ;0645+5240;WISEA J064503.72+524054.1   ;101.26547;+52.68179
WISEA  ;J064528.39-030247.9;  ;                     ; ;6      ;            ; ;   ;T6            ;6      ; ; 54.1000; 3.0000; 322.20; 2.20;0     ; ; 817; 88;       ;0645-0302;WISEA J064528.39-030247.9   ;101.36828;-03.04674
2MASS  ;J06453153-6646120  ;  ;                     ; ;133    ;sdL8        ; ;133;sdL8          ;133    ; ; 53.8000; 2.9000;1582.30; 2.60;0     ; ;1369; 88;sd     ;0645-6646;2MASS J06453153-6646120     ;101.38138;-66.77001
2MASS  ;J06462756+7935045  ;  ;HD 46588B            ; ;84     ;            ; ;   ;L9:           ;84     ; ; 54.9292; 0.1076; 612.00; 0.30;168   ;a;1257; 88;       ;0646+7935;2MASS J06462756+7935045     ;101.61483;+79.58459
WISE   ;J064723.23-623235.5;  ;                     ; ;12     ;            ; ;   ;Y1            ;12     ; ; 99.5000; 1.7000; 393.90; 0.90;0     ; ; 393; 88;       ;0647-6232;WISE J064723.23-623235.5    ;101.84682;-62.54320
WISEA  ;J064750.85-154616.4;  ;                     ; ;85     ;            ; ;   ;L9.5          ;85     ; ; 62.7000; 3.3000; 178.40; 3.00;0     ; ;1391; 88;       ;0647-1546;WISEA J064750.85-154616.4   ;101.96151;-15.77167
2MASS  ;J06522224+4127366  ;  ;PSO J103.0927+41.4601; ;86     ;            ; ;   ;T0            ;86     ; ; 57.6000; 3.3000;  41.00; 3.20;0     ; ;1395; 88;       ;0652+4127;2MASS J06522224+4127366     ;103.09269;+41.46017
2MASSI ;J0652307+471034    ;  ;                     ; ;115    ;L4.5        ; ;115;L6.5          ;124    ; ;110.3100; 0.2900; 181.70; 0.10;172   ; ;1597; 88;       ;0652+4710;2MASSI J0652307+471034      ;103.12799;+47.17637
WISEPA ;J065609.60+420531.0;  ;                     ; ;4      ;T2          ; ;214;T3            ;4      ; ; 63.0000; 4.1000; 356.70; 5.50;237   ; ;1235; 88;       ;0656+4205;WISEP J065609.60+420531.0   ;104.03862;+42.09171
2MASS  ;J07003664+3157266  ;A ;                     ; ;125    ;L3          ; ;117;L3:           ;102    ; ; 88.2790; 0.3479; 559.90; 0.70;168   ; ;1838;134;       ;0700+3157;WDS J07006+3157AB           ;105.15301;+31.95707
2MASS  ;J07003664+3157266  ;B ;                     ; ;117    ;L6.5        ; ;117;L6.5:         ;102    ; ; 88.2790; 0.3479; 559.90; 0.70;168   ; ;1465;134;       ;0700+3157;WDS J07006+3157AB           ;105.15301;+31.95707
2MASS  ;J07003664+3157266  ;C:;                     ; ;180    ;L6.5::      ; ;180;              ;       ; ; 88.2790; 0.3479; 559.90; 0.70;168   ; ;1465;134;       ;0700+3157;                            ;105.15267;+31.95739
WISE   ;J070159.79+632129.2;  ;                     ; ;8      ;            ; ;   ;T3            ;8      ; ; 52.6000; 3.0000; 263.00; 1.40;0     ; ;1281; 88;       ;0701+6321;WISE J070159.79+632129.2    ;105.49932;+63.35897
WISEA  ;J071301.86-585445.2;  ;                     ; ;6      ;            ; ;   ;T9            ;6      ; ; 82.1000; 3.0000; 372.30; 2.50;0     ; ; 521; 88;       ;0713-5854;WISEA J071301.86-585445.2   ;108.25770;-58.91255
WISE   ;J071322.55-291751.9;  ;                     ; ;2      ;            ; ;   ;Y0            ;2      ; ;109.3000; 2.1000; 542.00; 1.30;0     ; ; 464; 88;       ;0713-2917;WISE J071322.55-291751.9    ;108.34398;-29.29777
WISEA  ;J071552.38-114532.9;  ;                     ; ;126    ;            ; ;   ;L4~pec~(blue) ;126    ; ; 55.5855; 0.3446; 803.30; 0.80;168   ; ;1154; 88;       ;0715-1145;WISEA J071552.38-114532.9   ;108.96614;-11.75800
WISE   ;J072003.20-084651.2;B ;                     ; ;238    ;            ; ;   ;[T5.5]        ;239    ; ;147.1000; 1.2000; 125.30; 4.60;240   ; ;1183; 88;       ;0720-0846;WDS J07200-0847AB           ;110.01356;-08.78053
UGPS   ;J072227.51-054031.2;  ;                     ; ;37     ;T9          ; ;4  ;T9            ;10     ; ;242.8000; 2.4000; 970.30; 2.10;40    ; ; 569; 45;       ;0722-0540;UGPS J072227.51-054031.2    ;110.61463;-05.67534
WISE   ;J072312.44+340313.5;  ;                     ; ;8      ;            ; ;   ;T9:           ;8      ; ; 60.8000; 2.1000; 348.10; 1.20;0     ; ; 631; 88;       ;0723+3403;WISE J072312.44+340313.5    ;110.80183;+34.05377
2MASSI ;J0727182+171001    ;  ;                     ; ;32     ;T8          ; ;197;T7            ;61     ; ;112.5000; 0.9000;1296.20; 0.90;67    ; ; 845; 71;       ;0727+1710;2MASSI J0727182+171001      ;111.82602;+17.16700
2MASS  ;J07290002-3954043  ;  ;                     ; ;24     ;            ; ;   ;T8~pec        ;24     ; ;126.3000; 8.3000;1738.30; 7.60;66    ; ; 752; 69;sd     ;0729-3954;2MASS J07290002-3954043     ;112.25010;-39.90122
WISE   ;J073444.02-715744.0;  ;                     ; ;2      ;            ; ;   ;Y0            ;2      ; ; 74.5000; 1.7000; 569.00; 0.90;0     ; ; 462; 88;       ;0734-7157;WISE J073444.02-715744.0    ;113.68343;-71.96223
SDSS   ;J074149.15+235127.5;  ;                     ; ;57     ;            ; ;   ;T5.5          ;124    ; ; 73.2000; 3.4000; 343.80; 2.20;0     ; ; 909; 88;       ;0741+2351;SDSS J074149.15+235127.5    ;115.45504;+23.85764
SDSS   ;J074201.41+205520.5;  ;                     ; ;57     ;            ; ;   ;T5            ;124    ; ; 63.5000; 3.1000; 400.30; 1.10;0     ; ; 958;102;       ;0742+2055;SDSS J074201.41+205520.5    ;115.50542;+20.92219
WISEPA ;J074457.15+562821.8;  ;                     ; ;4      ;            ; ;   ;T8            ;4      ; ; 65.3000; 2.0000; 781.70; 1.10;0     ; ; 726; 88;       ;0744+5628;WISEP J074457.15+562821.8   ;116.23854;+56.47251
ULAS   ;J074502.79+233240.3;  ;                     ; ;19     ;            ; ;   ;T8.5          ;19     ;:; 51.5000;       ;       ;     ;      ;g; 624; 79;       ;0745+2332;ULAS J074502.79+233240.3    ;116.26226;+23.54526
2MASSI ;J0746425+200032    ;A ;                     ; ;107    ;L0          ; ;128;              ;       ; ; 81.9000; 0.3000; 378.50; 0.30;170   ; ;2237;134;       ;0746+2000;WDS J07467+2001AB           ;116.67711;+20.00888
2MASSI ;J0746425+200032    ;B ;                     ; ;127    ;L1.5        ; ;128;              ;       ; ; 81.9000; 0.3000; 378.50; 0.30;170   ; ;2029;134;       ;0746+2000;WDS J07467+2001AB           ;116.67711;+20.00888
WISEPA ;J075003.84+272544.8;  ;                     ; ;4      ;            ; ;   ;T8.5          ;4      ; ; 68.4000; 3.4000; 783.20; 2.70;1     ; ; 583; 88;       ;0750+2725;WISEP J075003.84+272544.8   ;117.51808;+27.42972
WISEPA ;J075108.79-763449.6;  ;                     ; ;4      ;            ; ;   ;T9            ;4      ; ; 97.9000; 6.7000; 216.70; 5.30;1     ; ; 492; 88;       ;0751-7634;WISEP J075108.79-763449.6   ;117.78669;-76.58043
DENIS-P;J0751164-253043    ;  ;                     ; ;129    ;L1.5        ; ;129;L1.1          ;106    ; ; 56.5689; 0.1555; 891.00; 0.30;168   ; ;2083; 64;       ;0751-2530;DENIS-P J0751164-253043     ;117.81831;-25.51196
WISE   ;J075430.95+790957.8;  ;                     ; ;8      ;            ; ;   ;extr.~red     ;8      ; ; 51.1000; 1.2000; 437.30; 3.00;198   ; ;1248; 88;       ;0754+7909;WISE J075430.95+790957.8    ;118.62448;+79.16517
